frequency,intensity
0.0,20.0
1.0,19.995
2.0,19.99
3.0,19.985
4.0,19.98
5.0,19.975
6.0,19.97
7.0,19.965
8.0,19.96
9.0,19.955
10.0,19.95
11.0,19.945
12.0,19.94
13.0,19.935
14.0,19.93
15.0,19.925
16.0,19.92
17.0,19.915
18.0,19.91
19.0,19.905
20.0,19.9
21.0,19.895
22.0,19.89
23.0,19.885
24.0,19.88
25.0,19.875
26.0,19.87
27.0,19.865
28.0,19.86
29.0,19.855
30.0,19.85
31.0,19.845
32.0,19.84
33.0,19.835
34.0,19.83
35.0,19.825
36.0,19.82
37.0,19.815
38.0,19.81
39.0,19.805
40.0,19.8
41.0,19.795
42.0,19.79
43.0,19.785
44.0,19.78
45.0,19.775
46.0,19.77
47.0,19.765
48.0,19.76
49.0,19.755
50.0,19.75
51.0,19.745
52.0,19.74
53.0,19.735
54.0,19.73
55.0,19.725
56.0,19.72
57.0,19.715
58.0,19.71
59.0,19.705
60.0,19.7
61.0,19.695
62.0,19.69
63.0,19.685
64.0,19.68
65.0,19.675
66.0,19.67
67.0,19.665
68.0,19.66
69.0,19.655
70.0,19.65
71.0,19.645
72.0,19.64
73.0,19.635
74.0,19.63
75.0,19.625
76.0,19.62
77.0,19.615
78.0,19.61
79.0,19.605
80.0,19.6
81.0,19.595
82.0,19.59
83.0,19.585
84.0,19.58
85.0,19.575
86.0,19.57
87.0,19.565
88.0,19.56
89.0,19.555
90.0,19.55
91.0,19.545
92.0,19.54
93.0,19.535
94.0,19.53
95.0,19.525
96.0,19.52
97.0,19.515
98.0,19.51
99.0,19.505
100.0,19.5
101.0,19.495
102.0,19.49
103.0,19.485
104.0,19.48
105.0,19.475
106.0,19.47
107.0,19.465
108.0,19.46
109.0,19.455
110.0,19.45
111.0,19.445
112.0,19.44
113.0,19.435
114.0,19.43
115.0,19.425
116.0,19.42
117.0,19.415
118.0,19.41
119.0,19.405
120.0,19.4
121.0,19.395
122.0,19.39
123.0,19.385
124.0,19.38
125.0,19.375
126.0,19.37
127.0,19.365
128.0,19.36
129.0,19.355
130.0,19.35
131.0,19.345
132.0,19.34
133.0,19.335
134.0,19.33
135.0,19.325
