frequency,intensity
0.1,7.910341
0.11,7.892013
0.12,7.932445
0.13,8.46149
0.14,7.922696
0.15,7.033504
0.16,8.236496
0.17,7.995399
0.18,9.065928
0.19,13.767007
0.2,25.42571
0.21,42.395684
0.22,50.435614
0.23,41.712001
0.24,24.796407
0.25,13.034551
0.26,9.370273
0.27,9.025371
0.28,8.052366
0.29,7.943274
0.3,8.357682
0.31,7.067596
0.32,7.80982
0.33,8.331935
0.34,8.581313
0.35,7.85759
0.36,8.25919
0.37,8.176138
0.38,8.523712
0.39,7.292005
0.4,8.385363
0.41,7.031961
0.42,6.313835
0.43,7.622721
0.44,7.422323
0.45,8.587407
0.46,8.450172
0.47,7.226401
0.48,8.569984
0.49,7.368168
0.5,7.963941
0.51,7.829365
0.52,8.095174
0.53,8.553317
0.54,8.436582
0.55,8.249462
0.56,8.444965
0.57,8.334073
0.58,7.616284
0.59,7.558785
0.6,7.721874
0.61,8.356279
0.62,7.877562
0.63,9.574326
0.64,7.552819
0.65,7.42282
0.66,8.724317
0.67,9.291475
0.68,8.917246
0.69,9.460096
0.7,10.308475
0.71,9.946267
0.72,9.884248
0.73,11.436459
0.74,13.516503
0.75,13.156913
0.76,15.313683
0.77,16.548104
0.78,17.057226
0.79,18.303945
0.8,18.409504
0.81,19.343299
0.82,17.66694
0.83,15.989787
0.84,14.929919
0.85,13.558776
0.86,13.520897
0.87,11.419466
0.88,10.7699
0.89,10.50163
0.9,8.919098
0.91,8.734734
0.92,7.401307
0.93,7.674059
0.94,7.866978
0.95,8.41933
0.96,8.873926
0.97,8.057679
0.98,8.22442
0.99,8.156093
1,8.748431
1.01,8.622553
1.02,8.21932
1.03,7.384334
1.04,8.628894
1.05,8.289712
1.06,8.839919
1.07,8.023359
1.08,9.31271
1.09,7.810324
1.1,9.079482
1.11,8.11922
1.12,7.709218
1.13,7.311701
1.14,7.947422
1.15,8.97115
1.16,8.577035
1.17,8.494566
1.18,6.502874
1.19,8.509718
1.2,8.409295
1.21,7.690938
1.22,7.64099
1.23,8.047688
1.24,9.170759
1.25,7.364174
1.26,7.772316
1.27,8.935949
1.28,7.761191
1.29,7.814825
1.3,8.115543
1.31,7.24555
1.32,8.195752
1.33,7.266936
1.34,8.628966
1.35,8.056054
1.36,9.538617
