frequency,intensity
0.1,6.046371
0.11,6.219871
0.12,6.075921
0.13,6.582723
0.14,5.890191
0.15,5.180179
0.16,6.714475
0.17,6.301436
0.18,7.525148
0.19,12.029233
0.2,23.724402
0.21,40.642016
0.22,48.219098
0.23,40.125814
0.24,23.123003
0.25,11.359256
0.26,7.147432
0.27,6.789399
0.28,6.029962
0.29,6.026227
0.3,6.634043
0.31,5.256118
0.32,6.140064
0.33,6.371376
0.34,6.858489
0.35,6.156129
0.36,6.293906
0.37,6.805521
0.38,6.862864
0.39,5.791256
0.4,6.43028
0.41,5.047082
0.42,4.427823
0.43,5.796116
0.44,5.780343
0.45,6.849514
0.46,6.538333
0.47,5.187173
0.48,6.639836
0.49,5.873398
0.5,5.961954
0.51,6.090555
0.52,6.401804
0.53,6.380881
0.54,6.648701
0.55,6.776023
0.56,6.141374
0.57,6.453675
0.58,5.789749
0.59,5.55447
0.6,6.046222
0.61,6.540709
0.62,5.711398
0.63,7.981287
0.64,5.920153
0.65,5.85928
0.66,7.284466
0.67,7.582036
0.68,7.147065
0.69,7.335304
0.7,8.662336
0.71,7.993327
0.72,7.971073
0.73,9.320262
0.74,11.474599
0.75,11.224133
0.76,13.835892
0.77,14.240156
0.78,14.8928
0.79,16.563783
0.8,16.970341
0.81,17.687923
0.82,15.391954
0.83,13.560228
0.84,13.219268
0.85,11.574711
0.86,11.44095
0.87,9.863809
0.88,9.245347
0.89,8.740943
0.9,7.180542
0.91,7.043325
0.92,5.999808
0.93,6.028816
0.94,6.19664
0.95,6.756264
0.96,6.681848
0.97,6.578112
0.98,6.663196
0.99,6.488499
1,6.454962
1.01,6.664133
1.02,6.629896
1.03,5.13153
1.04,6.782888
1.05,6.744594
1.06,6.712122
1.07,6.625886
1.08,7.650701
1.09,5.972789
1.1,7.360699
1.11,6.481678
1.12,5.939316
1.13,5.798116
1.14,5.982036
1.15,7.067466
1.16,7.037456
1.17,6.701266
1.18,4.482758
1.19,6.946332
1.2,6.975669
1.21,5.779731
1.22,5.495992
1.23,6.214001
1.24,7.333504
1.25,5.489674
1.26,6.323509
1.27,6.879215
1.28,6.276338
1.29,5.697745
1.3,6.118783
1.31,5.60343
1.32,6.677925
1.33,5.681687
1.34,6.915272
1.35,6.291643
1.36,7.776737
1.37,6.581152
1.38,7.098835
1.39,5.477823
1.4,6.319777
1.41,6.466639
1.42,7.582499
1.43,5.306059
1.44,7.404145
1.45,6.7236
1.46,7.14829
1.47,6.628695
1.48,6.289753
1.49,6.151456
1.5,5.364524
1.51,6.483862
1.52,6.595503
1.53,6.933184
1.54,5.583437
1.55,6.531209
1.56,5.342113
1.57,6.065371
1.58,6.325137
1.59,6.962939
1.6,7.275777
1.61,6.105168
1.62,6.146081
1.63,6.651562
1.64,6.463061
1.65,6.560692
1.66,5.754789
1.67,6.98779
1.68,5.642286
1.69,6.600735
1.7,7.348263
1.71,6.372259
1.72,6.438333
1.73,7.906865
1.74,6.642022
1.75,6.450357
1.76,5.917796
1.77,7.146226
1.78,6.263096
1.79,6.764986
1.8,7.322141
1.81,5.268303
1.82,5.422667
1.83,6.105906
1.84,6.593681
1.85,5.505724
1.86,6.884534
1.87,6.968347
1.88,5.591089
1.89,6.660181
1.9,6.347776
1.91,5.34774
1.92,6.549059
1.93,6.631086
1.94,6.055245
1.95,6.54442
1.96,7.281951
1.97,5.616649
1.98,6.768039
1.99,6.872921
2,5.849814
2.05,6.705783
2.1,6.341297
2.15,7.918514
2.2,4.695614
2.25,6.364495
2.3,6.246611
2.35,5.988011
2.4,7.275296
2.45,5.924813
2.5,8.073124
2.55,6.201154
2.6,6.900007
2.65,5.752414
2.7,5.859198
2.75,6.065424
2.8,6.319719
2.85,6.84285
2.9,4.725045
2.95,8.009548
3,6.458313
3.05,7.410276
3.1,5.176223
3.15,6.867637
3.2,8.36097
3.25,5.613783
3.3,5.45976
3.35,6.081056
3.4,7.017429
3.45,6.533414
3.5,7.462565
